               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.033266,           0.0052587,                   0,             0.96553,             0.85377,             0.89129,             0.49842,            0.034058,           0.0045703,                   0,            0.070007,           0.0033326,           0.0033326
                   1,            0.033345,           0.0052263,                   0,             0.94941,             0.86235,             0.89376,             0.50121,            0.033874,           0.0045153,                   0,             0.03986,           0.0065193,           0.0065193
                   2,            0.034527,             0.00543,                   0,             0.95234,             0.86288,             0.89408,             0.50286,            0.033949,           0.0044982,                   0,           0.0095669,           0.0095593,           0.0095593
                   3,             0.03538,           0.0055776,                   0,             0.94649,             0.86736,             0.89243,             0.50089,             0.03375,           0.0044821,                   0,             0.00934,             0.00934,             0.00934
                   4,            0.034865,           0.0054963,                   0,             0.95254,             0.85945,             0.89286,             0.50327,             0.03353,           0.0044385,                   0,             0.00934,             0.00934,             0.00934
                   5,            0.034226,           0.0054469,                   0,             0.95233,             0.85817,             0.89189,             0.50658,            0.033399,           0.0044533,                   0,             0.00912,             0.00912,             0.00912
                   6,            0.033882,           0.0053691,                   0,              0.9559,             0.85354,             0.88919,             0.50137,            0.033691,           0.0044756,                   0,              0.0089,              0.0089,              0.0089
                   7,            0.033485,           0.0053296,                   0,             0.95751,             0.85364,             0.88879,               0.499,            0.033742,             0.00449,                   0,             0.00868,             0.00868,             0.00868
                   8,            0.033151,           0.0053015,                   0,             0.95671,             0.85328,             0.88812,             0.49733,            0.033804,           0.0044975,                   0,             0.00846,             0.00846,             0.00846
                   9,            0.032789,           0.0052474,                   0,              0.9545,             0.85462,             0.88852,             0.49631,            0.033843,           0.0045061,                   0,             0.00824,             0.00824,             0.00824
                  10,            0.032665,           0.0052093,                   0,             0.95357,             0.85556,             0.88759,             0.49608,            0.033833,           0.0045048,                   0,             0.00802,             0.00802,             0.00802
                  11,            0.032377,           0.0051895,                   0,             0.94819,             0.85869,             0.88716,              0.4942,            0.033882,           0.0044945,                   0,              0.0078,              0.0078,              0.0078
                  12,            0.032176,           0.0051651,                   0,             0.94536,             0.85911,              0.8872,             0.49135,            0.033945,           0.0044871,                   0,             0.00758,             0.00758,             0.00758
                  13,            0.031873,           0.0051423,                   0,             0.94402,             0.86146,              0.8875,             0.48986,            0.033998,           0.0044833,                   0,             0.00736,             0.00736,             0.00736
                  14,            0.031728,           0.0051122,                   0,             0.94734,             0.85701,             0.88608,             0.48883,            0.034094,            0.004483,                   0,             0.00714,             0.00714,             0.00714
                  15,            0.031529,           0.0050829,                   0,             0.94924,             0.85621,             0.88651,             0.48926,            0.034099,           0.0044839,                   0,             0.00692,             0.00692,             0.00692
                  16,            0.031393,           0.0050437,                   0,             0.94857,              0.8591,             0.88641,              0.4867,            0.034194,           0.0044926,                   0,              0.0067,              0.0067,              0.0067
                  17,            0.031239,           0.0050412,                   0,             0.94952,             0.85752,             0.88537,             0.48554,            0.034259,           0.0044904,                   0,             0.00648,             0.00648,             0.00648
                  18,            0.030904,           0.0050067,                   0,             0.94897,             0.85871,             0.88463,             0.48522,            0.034221,           0.0044859,                   0,             0.00626,             0.00626,             0.00626
                  19,            0.030764,           0.0050103,                   0,             0.94842,             0.85569,             0.88283,             0.48506,            0.034216,           0.0044889,                   0,             0.00604,             0.00604,             0.00604
                  20,            0.030562,           0.0049853,                   0,             0.94813,             0.85465,              0.8811,             0.48591,            0.034224,           0.0045118,                   0,             0.00582,             0.00582,             0.00582
                  21,             0.03039,           0.0049435,                   0,             0.94837,             0.85237,             0.87973,             0.48329,            0.034348,           0.0045329,                   0,              0.0056,              0.0056,              0.0056
                  22,            0.030238,           0.0049204,                   0,             0.94921,             0.85179,             0.87937,             0.48401,            0.034355,           0.0045346,                   0,             0.00538,             0.00538,             0.00538
                  23,            0.029999,           0.0049086,                   0,             0.95107,             0.85391,             0.87999,             0.48541,            0.034354,           0.0045462,                   0,             0.00516,             0.00516,             0.00516
                  24,            0.029866,           0.0048931,                   0,             0.95184,             0.85216,             0.88018,             0.48598,            0.034391,           0.0045668,                   0,             0.00494,             0.00494,             0.00494
                  25,            0.029667,           0.0048381,                   0,             0.95096,              0.8488,             0.87875,             0.48576,            0.034415,           0.0045922,                   0,             0.00472,             0.00472,             0.00472
                  26,            0.029417,            0.004828,                   0,             0.95494,             0.84398,             0.87824,             0.48593,            0.034417,           0.0046142,                   0,              0.0045,              0.0045,              0.0045
                  27,             0.02918,           0.0047874,                   0,              0.9545,             0.84389,              0.8782,             0.48538,            0.034476,           0.0046275,                   0,             0.00428,             0.00428,             0.00428
                  28,            0.028983,           0.0047859,                   0,             0.95425,               0.841,             0.87679,             0.48493,            0.034535,           0.0046671,                   0,             0.00406,             0.00406,             0.00406
                  29,            0.028816,           0.0047424,                   0,             0.95457,             0.83667,             0.87503,             0.48348,            0.034616,           0.0046756,                   0,             0.00384,             0.00384,             0.00384
                  30,            0.028498,           0.0046978,                   0,             0.95278,             0.83406,             0.87294,             0.48291,            0.034706,           0.0047179,                   0,             0.00362,             0.00362,             0.00362
                  31,            0.028344,           0.0046851,                   0,             0.95412,             0.83375,             0.87224,             0.48119,            0.034767,           0.0047145,                   0,              0.0034,              0.0034,              0.0034
                  32,            0.028041,           0.0046564,                   0,             0.95547,             0.83221,             0.87214,             0.47987,            0.034814,           0.0047268,                   0,             0.00318,             0.00318,             0.00318
                  33,            0.027914,           0.0046088,                   0,             0.95542,             0.83208,             0.87134,             0.47772,            0.034908,           0.0047468,                   0,             0.00296,             0.00296,             0.00296
                  34,             0.02755,            0.004598,                   0,             0.95527,             0.83163,             0.87063,             0.47583,            0.034934,           0.0047752,                   0,             0.00274,             0.00274,             0.00274
                  35,            0.027306,           0.0045498,                   0,             0.95543,             0.83046,             0.87032,             0.47505,            0.034953,           0.0047863,                   0,             0.00252,             0.00252,             0.00252
                  36,            0.026967,           0.0045109,                   0,             0.95702,             0.82975,             0.87093,             0.47544,            0.034916,           0.0047979,                   0,              0.0023,              0.0023,              0.0023
                  37,            0.026749,           0.0044693,                   0,             0.95606,             0.82993,             0.87032,             0.47485,            0.034908,           0.0048157,                   0,             0.00208,             0.00208,             0.00208
                  38,            0.026359,           0.0044305,                   0,             0.95528,              0.8272,             0.86903,             0.47413,            0.034917,           0.0048588,                   0,             0.00186,             0.00186,             0.00186
                  39,            0.026062,           0.0043847,                   0,             0.95581,             0.82437,             0.86805,             0.47277,            0.034962,           0.0048972,                   0,             0.00164,             0.00164,             0.00164
                  40,            0.025712,           0.0043428,                   0,             0.95757,             0.82127,             0.86695,             0.47068,            0.035068,           0.0049211,                   0,             0.00142,             0.00142,             0.00142
                  41,            0.025288,           0.0043125,                   0,             0.95874,             0.81904,             0.86624,             0.47069,            0.035107,           0.0049417,                   0,              0.0012,              0.0012,              0.0012
                  42,            0.024926,           0.0042415,                   0,             0.95744,             0.82074,             0.86579,             0.47171,            0.035136,           0.0049646,                   0,             0.00098,             0.00098,             0.00098
                  43,            0.024422,           0.0041889,                   0,             0.95612,             0.82184,             0.86527,             0.47135,            0.035195,           0.0049982,                   0,             0.00076,             0.00076,             0.00076
                  44,            0.023971,           0.0041178,                   0,             0.95607,             0.81904,             0.86419,             0.47137,            0.035224,           0.0050598,                   0,             0.00054,             0.00054,             0.00054
